Título,Fecha,Formato,idTutor,Tutor,Instit_Tutor,idRevisor,Revisor,Instit_Revisor,Nota
El sueño infantil y el apego,19/09/2014,Monografía,9004,Veronica Silvia Cambon Mihalfi,"Instituto de Psicología, Educación y Desarrollo Humano",8822,Gabriela Etchebehere Arenas,"Instituto de Psicología, Educación y Desarrollo Humano",10
"Aproximación a las formaciones subjetivas y habitar de estudiantes universitarios provenientes del interior del país en la ciudad de Montevideo, Uruguay",22/09/2014,Pre-proyecto de investigación,8868,Karina Veronica Boggio Paredes,Instituto de Fundamentos y Métodos en Psicología,8805,Enrico Irrazabal Juanicotenea,Instituto de Psicologìa Social,12
Realización Personal y Trabajo,22/09/2014,Monografía,8894,Luis Victor Leopold Costabile,Instituto de Psicologìa Social,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,11
Maltrato Infantil Intrafamiliar,22/09/2014,Monografía,8789,Raul Dario De Leon Siri,"Instituto de Psicología, Educación y Desarrollo Humano",8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",9
Mobbing en Iberoamérica: una mirada desde la psicología,22/09/2014,Monografía,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,6
Los sentidos del trabajo,22/09/2014,Monografía,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,8894,Luis Victor Leopold Costabile,Instituto de Psicología Social,9
Rol del psicólogo en el cambio organizacional,22/09/2014,Monografía,8996,Silvia Virginia Franco Velazquez,Instituto de Psicologìa Social,8894,Luis Victor Leopold Costabile,Instituto de Psicología Social,9
"INGRESO DE MUJERES JEFAS DE FAMILIA CON HIJOS A CARGO, PROVENIENTES DE SECTORES DE BAJOS RECURSOS AL MERCADO LABORAL ACTUAL EN MONTEVIDEO. Dificultades para articular el trabajo productivo y reproductivo.",22/09/2014,Pre-proyecto de investigación,8839,Gustavo Daniel Conde Rosito,Instituto de Psicología de la Salud,9006,Victor Alberto Giorgi Gomez,Instituto de Psicología de la Salud,9
Consideraciones acerca del lenguaje en las psicosis,22/09/2014,Monografía,8838,Jose Guillermo Milan Ramos,Instituto de Psicología Clínica,NA, ,NA,11
Las Cooperativas Sociales como espacios de inclusión para personas en situación de vulnerabilidad social: la experiencia de los usuarios y usuarias del Sistema de Atención en Salud Mental,23/09/2014,Pre-proyecto de investigación,8954,Nelson Jesus De Leon Lopez,Instituto de Psicologìa Social,8855,Jorge Alvaro Chavez Bidart,Instituto de Fundamentos y Métodos en Psicología,9
La depresión y su abordaje desde un encuadre psicoanalítico,23/09/2014,Monografía,8872,Laura Lourdes De Souza Alonso,Instituto de Psicología Clínica,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,10
LA REHABILITACIÓN PSICOSOCIAL EN LA PSICOSIS ESQUIZOFRÉNICA,23/09/2014,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicología Clínica,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,7
Resultado de intervenciones psicodinámicas grupales de un año de duración con usuarios que presentaron intento de autoeliminación en un Centro de Salud,23/09/2014,Pre-proyecto de investigación,8881,Liliana Guerrero,Instituto de Psicología Clínica,8872,Laura Lourdes De Souza Alonso,Instituto de Psicología Clínica,9
Percepción y posicionamiento del docente uruguayo en relación a la integración de las TIC en el aula,23/09/2014,Pre-proyecto de investigación,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8806,Esther Haydee Angeriz Pampin,"Instituto de Psicología, Educación y Desarrollo Humano",10
La narrativa como recurso terapéutico en el desarrollo de estilo de afrontamiento en niños hospitalizados con diagnóstico de cáncer,23/09/2014,Pre-proyecto de investigación,8881,Liliana Guerrero,Instituto de Psicología Clínica,8953,Maria Nelly Rodriguez Ricciuto,Instituto de Psicología Clínica,11
Reflexiones en torno al proceso de apropiación a partir de la inclusión de la XO en el aula,23/09/2014,Otro,8806,Esther Haydee Angeriz Pampin,"Instituto de Psicología, Educación y Desarrollo Humano",8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",10
La alianza terapéutica ¿una herramienta más?: Evolución del concepto y su aplicación clínica,23/09/2014,Monografía,8872,Laura Lourdes De Souza Alonso,Instituto de Psicología Clínica,8881,Liliana Guerrero,Instituto de Psicología Clínica,10
Análisis de las prácticas de crianza en familias que sufren violencia doméstica y sus posibles repercusiones en los niños y niñas,23/09/2014,Monografía,8773,Ana Cecilia Marotta Mendez,Instituto de Psicologìa Social,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,10
Derechos humanos y políticas públicas en Salud Mental ¿Una justificación legal?,23/09/2014,Monografía,8769,Laura Cecilia Baroni Piedra Buena,"Instituto de Psicología, Educación y Desarrollo Humano",8838,Jose Guillermo Milan Ramos,Instituto de Psicología Clínica,10
Libertad y Psicosis,23/09/2014,Monografía,8799,Jose Eduardo Sivori Martinez,Instituto de Fundamentos y Métodos en Psicología,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,11
¿Con quién se identifica el pibe chorro? Cómo pensar al binomio adolescente- adulto en relación a la baja de la edad de imputabilidad penal de 18 a 16 años.,23/09/2014,Monografía,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,8884,Lis Pérez Martínez,Instituto de Psicologìa Social,11
Aportes para pensar la intervención en el hogar en contextos de vulnerabilidad. Una mirada desde la clínica.,23/09/2014,Monografía,8779,Claudia Martinez Olhagaray,Instituto de Psicología Clínica,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,12
Cáncer de mama: mastectomía y sexualidad,24/09/2014,Monografía,8743,Ana Luz Protesoni Vitancurt,Instituto de Psicología Clínica,8718,Adriana Gandolfi García,Instituto de Psicología Clínica,6
Estrés laboral y burnout: incidencia en la vida y salud de los enfermeros que trabajan en unidades de cuidados paliativos,24/09/2014,Monografía,8718,Adriana Gandolfi García,Instituto de Psicología Clínica,8743,Ana Luz Protesoni Vitancurt,Instituto de Psicología Clínica,4
El quehacer del psicólogo en instituciones de Educación inicial,24/09/2014,Pre-proyecto de investigación,8941,Maria Josefa Pimienta Fernandez,Instituto de Psicología de la Salud,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8
Condiciones que refuerzan la inequidad y violencia de género en el medio rural,24/09/2014,Monografía,8802,Elina Carril,Instituto de Psicología de la Salud,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,11
"Jóvenes de la Periferia, trayectorias educativas y expectativas de vida",24/09/2014,Pre-proyecto de investigación,8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",8769,Laura Cecilia Baroni Piedra Buena,"Instituto de Psicología, Educación y Desarrollo Humano",8
Acerca de las prácticas del psicólogo en el Primer Nivel de Atención en Salud,24/09/2014,Monografía,8905,Maria Alejandra Arias Lozano,Instituto de Psicología de la Salud,8954,Maria Julia Perea Negreira,Instituto de Psicologìa Social,10
"Homo-demens. Orígenes, Estigma y Tratamiento de las Demencias tipo Alzheimer en el Uruguay",24/09/2014,Monografía,8973,Elbio Robert Perez Fernandez,Instituto de Psicologìa Social,8912,Nelson Jesus De Leon Lopez,Instituto de Psicologìa Social,11
Universidad de la República Facultad de Psicología Trabajo Final de Grado Subjetividad en la trama de las Nuevas Tecnologías,25/09/2014,Monografía,8806,Esther Haydee Angeriz Pampin,"Instituto de Psicología, Educación y Desarrollo Humano",8896,Magdalena Estela Filgueira Emeric,"Instituto de Psicología, Educación y Desarrollo Humano",10
TRASTORNOS DE LA PERSONALIDAD: APROXIMACIÓN AL ENFOQUE INTEGRACIONISTA DE THEODORE MILLON,25/09/2014,Monografía,8825,Gabriela Prieto Loureiro,Instituto de Psicologìa Clínica,8727,Maria Gutierrez,Instituto de Psicología Clínica,11
Situación actual de la Reforma de Salud Mental en Uruguay,25/09/2014,Monografía,8954,Nelson Jesus De Leon Lopez,Instituto de Psicología Social,8946,Nahir Silveira,Instituto de Psicologìa Social,9
La novela de la desafiliaciòn en instituciones educativas de enseñanza media,25/09/2014,Artículo científico,8896,Magdalena Estela Filgueira Emeric,"Instituto de Psicología, Educación y Desarrollo Humano",8775,Cecilia Maria Pereda Bartesaghi,"Instituto de Psicología, Educación y Desarrollo Humano",12
Producción artística y procesos creativos en el campo de la salud mental,25/09/2014,Monografía,8954,Nelson Jesus De Leon Lopez,Instituto de Psicologìa Social,8850,Javier Enrique Romano Silva,Instituto de Psicologìa Social,9
El cuerpo en el encierro,25/09/2014,Monografía,8769,Laura Cecilia Baroni Piedra Buena,"Instituto de Psicología, Educación y Desarrollo Humano",8954,Nelson Jesus De Leon Lopez,Instituto de Psicologìa Social,12
Determinantes de la Eficiencia en Proyectos de Cambio en pequeñas Empresas Montevideanas.,25/09/2014,Pre-proyecto de investigación,8894,Luis Victor Leopold Costabile,Instituto de Psicologìa Social,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,10
La discriminación interiorizada. Influencia del racismo en la imagen de sí mismo y (auto) exclusión,26/09/2014,Pre-proyecto de investigación,8935,Monica Elizabeth Olaza Lopez,Instituto de Fundamentos y Métodos en Psicología,9010,Virginia Masse Fagundez,Instituto de Fundamentos y Métodos en Psicología,10
"Riesgo  suicida, Intento de Autoeliminación y Trastornos Mentales en el ámbito carcelario. Estrategias preventivas del suicidio.",26/09/2014,Pre-proyecto de investigación,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,10
"Consecuencias psicosociales de la implementación de la Ley Nro. 18033, en ex-presos políticos de la última dictadura cívico-militar en Uruguay",26/09/2014,Pre-proyecto de investigación,8773,Ana Cecilia Marotta Mendez,Instituto de Psicologìa Social,8805,Enrico Irrazabal Juanicotenea,Instituto de Psicologìa Social,11
Estudio comparativo y descriptivo de la cotidianeidad de las personas adultas mayores en la vivienda tradicional rural y la vivienda MEVIR,26/09/2014,Pre-proyecto de investigación,8811,Fernando Berriel Taño,Instituto de Psicologìa Social,8934,Monica Sandra Llado Olivera,Instituto de Psicologìa Social,10
El control social de las políticas públicas de cuidado del adulto mayor,29/09/2014,Pre-proyecto de investigación,8934,Monica Sandra Lladó Olivera,Instituto de Psicologìa Social,9325,Mariana Paredes,Otros,10
Síntoma y sujeto en psicoanálisis,29/09/2014,Monografía,8749,Andrea Clara Bielli Pallela,Instituto de Psicología Clínica,8741,Ana Luisa Hounie Gonzalez,Instituto de Psicología Clínica,11
"Algunas consideraciones acerca de Género, Discurso y Disciplinamiento",29/09/2014,Monografía,8819,Gabriel Eira Charquero,Instituto de Psicología Social,8850,Javier Enrique Romano Silva,Instituto de Psicologìa Social,10
La naturalización del fracaso escolar en adolescentes y jóvenes desvinculados de la educación media,29/09/2014,Pre-proyecto de investigación,8895,Mabel Carolina Ruiz Barbot,"Instituto de Psicología, Educación y Desarrollo Humano",8918,Maria Virginia Fachinetti Lembo,"Instituto de Psicología, Educación y Desarrollo Humano",10
Tutorías entre Pares en Facultad  de Psicología. Una herramienta para la  adaptación Universitaria.,29/09/2014,Pre-proyecto de investigación,9268,Alicia Álvarez De León,Otros,8762,Carina Patricia Santiviago Ansuberro,"Instituto de Psicología, Educación y Desarrollo Humano",10
"La experiencia de las adolescentes que decidieron abortar en el marco de la ley 18.987 de interrupción voluntaria del embarazo en la ciudad de Florida, Uruguay",29/09/2014,Pre-proyecto de investigación,8728,Alejandra Lopez Gomez,Instituto de Psicología de la Salud,8802,Elina Carril,Instituto de Psicología de la Salud,12
De la modernidad a la posmodernidad: estudio de las subjetividades producidas por grupos de resistencia juvenil en Uruguay vinculados al canto popular uruguayo y la música punk,29/09/2014,Monografía,8863,Juan Enrique Fernandez Romar,Instituto de Psicologìa Social,8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,10
Psicoanálisis y ciencia - Una aproximación al análisis de sus relaciones,29/09/2014,Monografía,8838,Jose Guillermo Milan Ramos,Instituto de Psicología Clínica,8817,Flora Ana Singer Sztajnic,Instituto de Psicología Clínica,11
La ruptura como construcción,29/09/2014,Monografía,8929,Maria Hernandez,Instituto de Psicología Social,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,9
Participación social y su influencia en la calidad de vida de adultos mayores,30/09/2014,Pre-proyecto de investigación,8934,Monica Sandra Llado Olivera,Instituto de Psicologìa Social,8811,Fernando Berriel Taño,Instituto de Psicologìa Social,8
Motivación Social y su influencia en la Adaptación al Contexto Educativo,30/09/2014,Artículo científico,8869,Karina Curione Bulla,Instituto de Fundamentos y Métodos en Psicología,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8
"Videojuegos, más que una herramienta educativa",30/09/2014,Monografía,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8869,Karina Curione Bulla,Instituto de Fundamentos y Métodos en Psicología,7
Desarrollo de la Cognición Social en niños con Trastorno Generalizado del Desarrollo de tipo Autista,30/09/2014,Monografía,8726,Maria Alejandra Carboni Roman,Instituto de Fundamentos y Métodos en Psicología,8812,Fernando Gonzalez Perilli,Instituto de Fundamentos y Métodos en Psicología,8
Controversias sobre la prescripción de metilfenidato en niños con Trastorno de Déficit Atencional con Hiperactividad (TDHA),30/09/2014,Artículo científico,8863,Juan Enrique Fernandez Romar,Instituto de Psicologìa Social,8777,Clara Alicia Netto Soares Netto,Instituto de Psicologìa Social,11
Aportes psicoanalíticos sobre las dificultades de aprendizaje en los niños,30/09/2014,Monografía,9000,Maria Susana Martinez Ferreira,Instituto de Psicología Clínica,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,7
Construcción de la imagen corporal: aportes pensados desde la clínica,11/11/2014,Monografía,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,9000,Maria Susana Martinez Ferreira,Instituto de Psicología Clínica,11
Parentalidad y dinámicas productoras de violencia: afectaciones de la subjetividad infantil.,22/11/2014,Monografía,8779,Claudia Martinez Olhagaray,Instituto de Psicología Clínica,8913,Maria De Las Mercedes Couso Lingeri,Instituto de Psicología Clínica,12
Influencia de la música en la percepción del tiempo - M Croce,12/12/2014,Artículo científico,8731,Alejandro Vasquez Echeverria,Instituto de Fundamentos y Métodos en Psicología,8729,Alejandro Mauricio Maiche Marini,Instituto de Fundamentos y Métodos en Psicología,12
Contribuciones de la técnica de la hora de juego a la intervención diagnóstica,15/12/2014,Monografía,8915,Maria Patricia Dominguez Perez,Instituto de Psicología Clínica,8801,Elika Capnikas Nemirovsky,Instituto de Psicología Clínica,7
Psicología del Deporte. La motivación y el Rugby,15/12/2014,Monografía,8859,Jorge Fernando Salvo Spinatelli,Instituto de Fundamentos y Métodos en Psicología,8856,Jorge Cohen Bonomo,Instituto de Fundamentos y Métodos en Psicología,10
Neuropsicología del Trastorno Obsesivo-Compulsivo y su relación con los lóbulos frontales,15/12/2014,Monografía,8991,Luis Sergio Dansilio De Simone,Instituto de Fundamentos y Métodos en Psicología,8738,Alvaro Alfonso Mailhos Gutierrez,Instituto de Fundamentos y Métodos en Psicología,9
Exceso de discapacidad en la Enfermedad de Alzheimer y otras demencias. ¿cómo intervienen las prácticas de las personas con demencia y sus cuidadores en la producción del exceso de discapacidad?,15/12/2014,Pre-proyecto de investigación,8973,Elbio Robert Perez Fernandez,Instituto de Psicología Social,8785,Fernando Berriel Taño,Instituto de Psicología de la Salud,7
¿Cómo parimos? De la violencia obstétrica al parto humanizado,15/12/2014,Monografía,8728,Alejandra Lopez Gomez,Instituto de Psicologìa de la Salud,8773,Ana Cecilia Marotta Mendez,Instituto de Psicologìa Social,10
Adolescencia 2.0: influencia de los videojuegos online en la sociabilidad del adolescente,15/12/2014,Pre-proyecto de investigación,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8964,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,10
Identidad de género LXS personas trans: un campo en disputa,15/12/2014,Monografía,8961,Olga Rochkovski Evdokimoff,Instituto de Psicología Clínica,9429,Matías Carámbula Pareja,Otros,9
"Las ecoaldeas y los principios de la Permacultura en el Uruguay, una alternativa para migrar de la ciudad al campo",15/12/2014,Pre-proyecto de investigación,8851,Joaquin Eduardo Marques Ferres,Instituto de Psicología Social,8811,Pablo Adrián López Gómez,Instituto de Psicologìa Social,11
Violencia y subjetividad femenina,15/12/2014,Monografía,8802,Elina Carril,Instituto de Psicología de la Salud,8933,Alejandra Lopez Gomez,Instituto de Fundamentos y Métodos en Psicología,10
Proyectos de vida de adolescentes y jovenes rurales,15/12/2014,Pre-proyecto de investigación,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,8811,Monica Elena Da Silva Ramos,Instituto de Psicologìa Social,11
Aspectos psicosociales del consumo de alcohol en la población adolescente,15/12/2014,Monografía,8961,Olga Rochkovski Evdokimoff,Instituto de Psicologìa Clínica,8929,Maria Hernandez,Instituto de Psicología Social,11
Concepciones de la Demencia y Prácticas de Cuidado,15/12/2014,Monografía,8973,Elbio Robert Perez Fernandez,Instituto de Psicología Social,8728,Fernando Berriel Taño,Instituto de Psicología de la Salud,7
Suicidio Adolescente en Uruguay,15/12/2014,Monografía,8912,Maria Julia Perea Negreira,Instituto de Psicologìa Social,8763,Carlos Parafita,Instituto de Psicología de la Salud,8
Violencia de pareja: una lucha de poderes y de géneros,15/12/2014,Monografía,8961,Olga Rochkovski Evdokimoff,Instituto de Psicología Clínica,8728,Alejandra Lopez Gomez,Instituto de Psicología de la Salud,10
Función de la consulta psicológica en los casos de esterilidad y/o infertilidad humana por causas psicológicas,15/12/2014,Monografía,8802,Elina Carril,Instituto de la Salud ,8820,Adriana Gandolfi García,"Instituto de Psicología, Educación y Desarrollo Humano",9
Pensando en TIC. La formación de los docentes en tecnología digitales para la educación. El caso del Instituto de Formación Docente de Florida.,15/12/2014,Pre-proyecto de investigación,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8867,Gabriela Ines Bañuls Campomar,Instituto de Fundamentos y Métodos en Psicología,9
Desarrollo y evaluación de un programa de estimulación de la cognición episódica en niños de edad pre-escolar,15/12/2014,Pre-proyecto de investigación,8731,Alejandro Vasquez Echeverria,Instituto de Fundamentos y Métodos en Psicología,8895,Karen Adriana Moreira Tricot,"Instituto de Psicología, Educación y Desarrollo Humano",9
El asesoramiento pedagógico en contextos de encierro: una experiencia de educación universitaria,15/12/2014,Artículo científico,8769,Laura Cecilia Baroni Piedra Buena,"Instituto de Psicología, Educación y Desarrollo Humano",8718,Mabel Carolina Ruiz Barbot,Instituto de Psicología Clínica,12
Habla Privada en resolución de problemas con adolescentes.,15/12/2014,Artículo científico,8867,Karen Adriana Moreira Tricot,Instituto de Fundamentos y Métodos en Psicología,8876,Leonardo Peluso Crespi,"Instituto de Psicología, Educación y Desarrollo Humano",12
Tecnologías Digitales. La intervención de las Herramientas Tecnológicas en la Actividad de Estudio en Bachilleres de Humanístico y Científico,15/12/2014,Pre-proyecto de investigación,8820,Gabriela Ines Bañuls Campomar,"Instituto de Psicología, Educación y Desarrollo Humano",8751,Andrea Jimena Viera Gomez,"Instituto de Psicología, Educación y Desarrollo Humano",11
El mito del instinto maternal y su relación con el control social de las mujeres,15/12/2014,Monografía,8802,Elina Carril,Instituto de Pscología de la Salud,8906,Maria Ana Folle Chavannes,Instituto de Psicologìa Social,12
Programa de inglés en escuelas especiales públicas. Camino a una propuesta alternativa para los/as niños/as con discapacidad,15/12/2014,Pre-proyecto de investigación,8933,Monica Elena Da Silva Ramos,Instituto de Fundamentos y Métodos en Psicología,8758,Beatriz Gloria Falero Bonilla,Instituto de Fundamentos y Métodos en Psicología,12
La influencia del tempo musical en la percepción temporal.,15/12/2014,Artículo científico,8729,Alejandro Mauricio Maiche Marini,Instituto de Fundamentos y Métodos en Psicología,9239,Ana Cristina De Oliveira Tomé Lopes Pires,Centro de Investigación Básica en Psicología,8
Generación “Y” y el gran desafío del mundo del trabajo,15/12/2014,Monografía,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,9002,Tommy Constantino Wittke Tallar,Instituto de Psicologìa Social,6
Función de la escolarización en la formación de los conceptos científicos,15/12/2014,Monografía,8867,Karen Adriana Moreira Tricot,Instituto de Fundamentos y Métodos en Psicología,8785,Daniela Carolina Diaz Santos,Instituto de Psicología de la Salud,7
